mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6922853946685791,0.017877974548672085,0.01957879066467285,0.006108174597767789,0.9,0.0,0.01,800,3,0.05,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0.01, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.008075415156781673,-0.00821058452129364,-0.007938364520668983,-0.007985263131558895,-0.008215838111937046,-0.008085093088448047,0.00011351767804276398,22
0.14171242713928223,0.015992019723781496,0.00533137321472168,0.0013715054540183035,1.0,1.0,1.0,100,5,0.2,0.1,0.9,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.008147860877215862,-0.008396309800446033,-0.007999448105692863,-0.008274264633655548,-0.00835318211466074,-0.00823421310633421,0.0001446405206190789,23
0.7597174644470215,0.03239036682536297,0.01530318260192871,0.003939004217542377,0.8,0.01,0.1,800,6,0.01,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.00836857408285141,-0.00855604000389576,-0.008228180930018425,-0.008356587029993534,-0.008544409647583961,-0.008410758338868618,0.00012411122986885455,24
0.10754165649414063,0.02054678098530293,0.0037535667419433595,0.001488925737604482,0.7,0.1,1e-05,100,8,0.1,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 1e-05, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.008415520191192627,-0.008532540872693062,-0.008274098858237267,-0.008389417082071304,-0.008526620455086231,-0.008427639491856098,9.590003859630844e-05,25
0.8804374694824219,0.07497397351544426,0.027677631378173827,0.011340334233742463,0.9,1.0,1.0,1000,4,0.2,0.1,0.7,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.7}",-0.008352994918823242,-0.008554980158805847,-0.008238451555371284,-0.00851312093436718,-0.008490909822285175,-0.008430091477930547,0.00011735389520734258,26
0.523507833480835,0.016936273022087462,0.011598539352416993,0.003087113019928219,0.7,0.1,1e-05,500,3,0.05,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 1e-05, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9}",-0.00843033380806446,-0.00863631535321474,-0.008346923626959324,-0.008437702432274818,-0.008665401488542557,-0.00850333534181118,0.00012494050314908073,27
0.9720280647277832,0.07121642386408895,0.016123867034912108,0.005617970261404828,0.6,1e-05,0.1,1000,4,0.2,0.1,1.0,"{'subsample': 0.6, 'reg_lambda': 1e-05, 'reg_alpha': 0.1, 'n_estimators': 1000, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.008620369248092175,-0.008785983547568321,-0.008392148651182652,-0.00837763398885727,-0.008761736564338207,-0.008587574400007725,0.0001749516224095939,28
1.008945846557617,0.08132587825460993,0.020200777053833007,0.0022603268350743777,0.8,0.1,1.0,1000,3,0.2,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.008594674989581108,-0.008874221704900265,-0.008587472140789032,-0.008859210647642612,-0.008852235041558743,-0.008753562904894352,0.00013288167192977612,29
0.16493840217590333,0.03595345301374907,0.007039594650268555,0.007335636561153745,0.6,1.0,1e-05,100,3,0.05,0.1,1.0,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 1e-05, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.008926989510655403,-0.009022453799843788,-0.008683029562234879,-0.008795241825282574,-0.009027578867971897,-0.008891058713197708,0.0001339032839928151,30
1.028117847442627,0.08655462717767497,0.017394590377807616,0.004026135337827534,0.6,0.1,0.1,1000,5,0.01,0.1,1.0,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.008967232890427113,-0.009094681590795517,-0.008785033598542213,-0.008891509845852852,-0.009142143651843071,-0.008976120315492154,0.0001306694880270266,31
